product_id,bottom_year,top_year,vehicle_id
1,2001,2007,22
2,2009,2018,13
3,1996,2000,72
4,1988,1996,99
5,1997,2024,15
6,2006,2006,36
7,1999,2001,87
8,2003,2013,63
9,1994,2022,44
10,2013,2018,4
11,2000,2024,27
12,1995,2009,85
13,1987,2018,15
14,2000,2001,82
15,2001,2024,52
16,2002,2023,78
17,2012,2022,75
18,2006,2012,97
19,1989,2020,27
20,2011,2022,42
21,2011,2011,6
22,2004,2004,12
23,2001,2008,21
24,2004,2024,20
25,1989,2003,39
26,2001,2017,79
27,1998,2020,86
28,2011,2020,20
29,1975,2016,97
30,2005,2005,57
31,2008,2016,32
32,2006,2025,58
33,1994,2006,27
34,1992,2016,42
35,2008,2012,95
36,1996,1998,52
37,1999,2009,54
38,2010,2011,93
39,1997,2024,20
40,2006,2011,26
41,1988,2013,30
42,2009,2012,44
43,2003,2020,69
44,2012,2017,79
45,2005,2009,38
46,2009,2023,60
47,1996,2013,38
48,1997,2004,30
49,2006,2023,25
50,2009,2026,95
51,2009,2025,98
52,2002,2020,51
53,2007,2020,21
54,2008,2025,44
55,1988,2006,39
56,1997,2001,84
57,1995,1999,64
58,2005,2009,57
59,2006,2021,97
60,2007,2007,62
61,1980,2013,96
62,1984,1996,94
63,2011,2018,25
64,2009,2019,9
65,2005,2009,66
66,1988,2022,85
67,1998,1998,82
68,2006,2006,37
69,2001,2022,39
70,2004,2024,20
71,1989,1999,50
72,2011,2011,99
73,2010,2015,47
74,1992,1993,12
75,1992,2021,31
76,2011,2025,71
77,2007,2020,95
78,1992,2025,59
79,2001,2008,34
80,1999,2022,5
81,1992,2012,67
82,2003,2023,91
83,2010,2013,55
84,2006,2018,18
85,2008,2013,9
86,2005,2021,7
87,2007,2016,25
88,2013,2014,46
89,2004,2025,86
90,2000,2026,39
91,2003,2022,52
92,2010,2012,9
93,2011,2017,87
94,1999,2014,99
95,2003,2008,16
96,1985,2003,44
97,2005,2017,75
98,1993,2011,26
99,2011,2011,18
100,2010,2016,82
101,1994,2020,48
102,2000,2005,96
103,1996,2013,96
104,1993,2017,69
105,1987,1989,86
106,1996,2009,33
107,1993,2007,69
108,2006,2011,50
109,2012,2018,98
110,2011,2024,11
111,1992,2024,98
112,2009,2022,6
113,1994,2018,16
114,2008,2020,60
115,2005,2012,8
116,2003,2020,52
117,1992,2018,91
118,1996,2020,19
119,1996,2016,10
120,1991,2025,2
121,2003,2018,65
122,2009,2016,89
123,1998,2002,24
124,2006,2011,87
125,2012,2016,43
126,2008,2019,53
127,2004,2006,59
128,2009,2020,69
129,2004,2015,75
130,2006,2015,70
131,2003,2009,66
132,1999,2008,57
133,1991,2014,41
134,1992,2005,23
135,2001,2010,27
136,1997,2025,42
137,2002,2007,48
138,2003,2020,78
139,2009,2018,60
140,1992,2023,44
141,2003,2026,93
142,2008,2020,22
143,2003,2020,40
144,1990,2017,13
145,2003,2004,73
146,1985,2019,55
147,2009,2017,77
148,2004,2023,60
149,1989,1992,43
150,2001,2014,11
151,2002,2010,11
152,2009,2023,61
153,2002,2004,45
154,2000,2020,56
155,1988,2002,15
156,2004,2023,80
157,2006,2018,8
158,2011,2016,41
159,2011,2023,27
160,2005,2020,4
161,2002,2008,19
162,2006,2013,24
163,2006,2025,89
164,2002,2015,43
165,2000,2024,98
166,1992,1998,80
167,1987,1995,11
168,1985,1989,21
169,2007,2023,54
170,1997,1999,46
171,2003,2019,65
172,2000,2006,46
173,2004,2018,82
174,2009,2021,25
175,2009,2020,78
176,2003,2021,48
177,2002,2012,96
178,1993,2010,18
179,2001,2024,25
180,2004,2008,96
181,2002,2019,79
182,2010,2026,74
183,2009,2025,49
184,1997,2017,31
185,1998,2014,75
186,1988,2021,8
187,2010,2013,34
188,1993,1994,28
189,2011,2022,78
190,2004,2025,52
191,2010,2014,75
192,2000,2000,100
193,2003,2006,73
194,2010,2011,85
195,2010,2017,61
196,2003,2006,1
197,2008,2025,76
198,1989,2010,59
199,2013,2021,43
200,2012,2018,81
201,1998,2011,30
202,2007,2011,95
203,2009,2013,58
204,2011,2014,83
205,1987,2006,25
206,2003,2026,29
207,2008,2015,86
208,2008,2009,68
209,2011,2014,54
210,2007,2020,33
211,1993,2016,39
212,2009,2025,3
213,2000,2026,89
214,2005,2007,22
215,2000,2017,49
216,1995,2025,53
217,1989,2009,86
218,1989,1990,64
219,1988,2012,40
220,2005,2014,14
221,1989,2008,94
222,2002,2003,68
223,2002,2019,70
224,1992,2010,75
225,1996,2024,25
226,2004,2016,12
227,1984,2005,45
228,2011,2011,22
229,2006,2023,70
230,2012,2021,55
231,1993,2010,26
232,1992,2023,35
233,2012,2015,80
234,2011,2016,11
235,2009,2015,30
236,2006,2011,66
237,1987,2001,49
238,1998,2003,78
239,1991,2021,87
240,1983,2005,71
241,2001,2026,30
242,2011,2020,85
243,2004,2022,31
244,2009,2011,98
245,2000,2008,14
246,1997,1997,9
247,1983,2011,71
248,1996,2006,61
249,1999,2007,1
250,1996,2017,74
251,2008,2015,59
252,2008,2015,87
253,2000,2004,68
254,2007,2017,4
255,1996,2007,28
256,2008,2020,10
257,2009,2009,15
258,2009,2024,54
259,1999,2020,47
260,2009,2013,91
261,1997,2009,9
262,1993,2017,86
263,2011,2013,73
264,1981,2015,71
265,1995,2013,75
266,1991,2001,97
267,2013,2019,98
268,2003,2019,9
269,1990,2015,33
270,2002,2026,38
271,1998,2026,67
272,2010,2017,89
273,2009,2017,85
274,2003,2019,73
275,2009,2020,34
276,2011,2020,65
277,2001,2001,27
278,1995,2005,27
279,2008,2015,32
280,2005,2013,87
281,2003,2026,93
282,2003,2003,43
283,1992,1999,59
284,1965,1978,75
285,2001,2010,98
286,1991,2016,17
287,1995,2015,29
288,1994,2011,30
289,1993,2003,41
290,2010,2023,12
291,2006,2017,65
292,1993,2014,10
293,1989,2001,69
294,2011,2016,66
295,2000,2014,65
296,2008,2024,73
297,1993,2022,21
298,2009,2013,95
299,1992,1993,46
300,2001,2026,49
301,2005,2017,63
302,2009,2023,85
303,2006,2020,94
304,2010,2021,78
305,2005,2018,39
306,2003,2015,67
307,2006,2023,7
308,2009,2025,62
309,2003,2021,74
310,2010,2020,69
311,2008,2015,15
312,1998,2003,38
313,2009,2014,53
314,2002,2024,13
315,2011,2012,35
316,2006,2010,19
317,1993,2024,89
318,2012,2015,71
319,2000,2001,16
320,2010,2016,75
321,2004,2007,49
322,2003,2016,49
323,2011,2012,36
324,1993,2010,23
325,2005,2026,29
326,2012,2024,29
327,2006,2014,17
328,2011,2021,43
329,1987,1999,16
330,1998,2012,2
331,1995,2015,77
332,1993,2008,30
333,1995,2019,68
334,1962,1973,100
335,2006,2026,2
336,1996,2006,87
337,1964,2009,98
338,2009,2026,23
339,1999,2023,42
340,2009,2023,27
341,1996,1999,94
342,1998,2020,45
343,2006,2020,60
344,2012,2013,95
345,1987,2014,19
346,1997,2001,37
347,1986,1993,65
348,2007,2012,45
349,1999,2004,47
350,2007,2020,92
351,1992,2006,68
352,1995,2004,79
353,2002,2015,89
354,2006,2007,78
355,2009,2015,3
356,1986,1989,14
357,2004,2004,34
358,2004,2010,58
359,2004,2006,100
360,1998,2007,59
361,1993,1995,31
362,1998,2024,54
363,1987,2004,36
364,1992,2025,23
365,1985,1990,30
366,2012,2020,2
367,1993,2003,54
368,2002,2020,9
369,2010,2016,1
370,2003,2013,33
371,2001,2008,100
372,2001,2003,56
373,2002,2026,84
374,1992,2009,17
375,1993,2017,47
376,2005,2016,30
377,1993,2005,34
378,2009,2018,24
379,1990,1991,72
380,2003,2025,14
381,2000,2010,17
382,2010,2011,80
383,1994,2008,90
384,2004,2010,76
385,2011,2013,28
386,1989,2008,55
387,1994,2000,82
388,1993,2014,6
389,2000,2018,71
390,1977,1998,10
391,1999,2009,54
392,2004,2013,57
393,1979,2023,4
394,1994,2000,19
395,2010,2014,11
396,2005,2012,8
397,2001,2025,73
398,1995,2006,70
399,2006,2008,96
400,1992,2024,38
401,1996,2001,60
402,2006,2010,50
403,1990,2025,68
404,2012,2012,93
405,1989,1996,23
406,1994,2025,73
407,2012,2018,24
408,1971,1991,5
409,1993,2008,62
410,1999,2012,65
411,1995,2024,43
412,2010,2023,67
413,2009,2011,64
414,2002,2021,10
415,1994,1999,38
416,1994,2025,66
417,1986,2026,51
418,2005,2011,99
419,2000,2022,86
420,2004,2023,81
421,1997,1997,57
422,1995,2000,69
423,2008,2019,50
424,2000,2025,100
425,1998,2026,5
426,1997,2010,36
427,2009,2025,60
428,2007,2018,10
429,1998,2024,44
430,1999,2018,10
431,2007,2007,5
432,2012,2017,96
433,1996,2017,46
434,2008,2026,93
435,1992,2008,87
436,2012,2021,38
437,1992,1995,12
438,1991,2013,25
439,2000,2001,84
440,2005,2013,40
441,2004,2009,25
442,1994,1997,91
443,1997,2018,58
444,2012,2012,9
445,2003,2023,33
446,2007,2020,86
447,1992,1992,96
448,2010,2018,100
449,2012,2012,27
450,1992,1998,80
451,2004,2005,52
452,2006,2023,45
453,1992,2012,67
454,2012,2012,72
455,1997,2021,24
456,1986,2006,88
457,2005,2026,100
458,1968,1983,81
459,1992,2017,57
460,1992,2014,34
461,2001,2014,46
462,2008,2013,54
463,1992,2009,52
464,1995,2014,24
465,1990,2021,54
466,2008,2017,52
467,1988,2013,8
468,1999,2018,84
469,2008,2013,78
470,2005,2020,79
471,2010,2016,87
472,1987,2021,57
473,2006,2011,30
474,2011,2015,100
475,1992,2022,76
476,1993,1993,35
477,2000,2025,64
478,2009,2013,50
479,2002,2023,67
480,1995,2013,50
481,1991,2011,91
482,2002,2019,73
483,1955,1962,50
484,1984,1995,44
485,1973,1985,67
486,2010,2026,45
487,2006,2015,64
488,2007,2016,37
489,1999,2020,36
490,2002,2011,99
491,2002,2002,47
492,2011,2024,87
493,2004,2006,9
494,1987,2011,34
495,2003,2009,88
496,1999,2011,16
497,2003,2023,67
498,1984,2012,48
499,2009,2025,33
500,2012,2018,55
