log_id,product_id,change_type,quantity,unit_cost,log_date,reference_id,reference_type
1,291,IN,248,1121.11,2025-01-12,1,PURCHASE
2,357,IN,101,3776.88,2025-01-12,2,PURCHASE
3,90,IN,249,1984.08,2025-01-12,3,PURCHASE
4,15,IN,265,3920.95,2025-01-12,4,PURCHASE
5,192,IN,165,2446.6,2025-01-12,5,PURCHASE
6,409,IN,114,3294.27,2025-01-12,6,PURCHASE
7,81,IN,413,4929.53,2025-01-12,7,PURCHASE
8,373,IN,433,1543.25,2025-01-12,8,PURCHASE
9,7,IN,196,2856.42,2025-01-12,9,PURCHASE
10,409,IN,178,2307.36,2025-01-26,10,PURCHASE
11,386,IN,137,4786.93,2025-01-26,11,PURCHASE
12,133,IN,295,4763.09,2025-01-26,12,PURCHASE
13,240,IN,336,4409.04,2025-01-26,13,PURCHASE
14,335,IN,381,4022.68,2025-01-26,14,PURCHASE
15,102,IN,128,1183.29,2025-01-26,15,PURCHASE
16,294,IN,356,157.48,2025-02-02,16,PURCHASE
17,249,IN,271,124.95,2025-02-02,17,PURCHASE
18,6,IN,198,598.22,2025-02-02,18,PURCHASE
19,433,IN,361,2127.5,2025-02-10,19,PURCHASE
20,277,IN,333,4855.16,2025-02-10,20,PURCHASE
21,67,IN,263,2384.09,2025-02-10,21,PURCHASE
22,372,IN,270,3805.4,2025-02-10,22,PURCHASE
23,392,IN,210,3652.63,2025-02-10,23,PURCHASE
24,120,IN,387,3767.8,2025-02-10,24,PURCHASE
25,337,IN,399,1352.01,2025-02-10,25,PURCHASE
26,473,IN,209,433.18,2025-02-23,26,PURCHASE
27,49,IN,318,1546.0,2025-02-23,27,PURCHASE
28,328,IN,286,3114.61,2025-02-23,28,PURCHASE
29,453,IN,260,418.14,2025-02-23,29,PURCHASE
30,84,IN,242,3584.22,2025-02-23,30,PURCHASE
31,428,IN,242,2292.64,2025-02-23,31,PURCHASE
32,486,IN,144,1097.71,2025-02-23,32,PURCHASE
33,17,IN,441,1070.09,2025-02-23,33,PURCHASE
34,255,IN,273,3950.03,2025-02-23,34,PURCHASE
35,100,IN,334,4493.15,2025-03-03,35,PURCHASE
36,107,IN,388,1362.31,2025-03-03,36,PURCHASE
37,142,IN,160,2651.34,2025-03-03,37,PURCHASE
38,321,IN,245,3177.75,2025-03-03,38,PURCHASE
39,388,IN,59,2110.94,2025-03-03,39,PURCHASE
40,403,IN,208,2171.06,2025-03-03,40,PURCHASE
41,497,IN,422,2719.16,2025-03-03,41,PURCHASE
42,418,IN,318,1877.93,2025-03-14,42,PURCHASE
43,93,IN,337,3096.4,2025-03-14,43,PURCHASE
44,250,IN,307,1017.46,2025-03-14,44,PURCHASE
45,107,IN,459,2757.43,2025-03-14,45,PURCHASE
46,460,IN,292,4095.65,2025-03-14,46,PURCHASE
47,212,IN,97,770.51,2025-03-14,47,PURCHASE
48,50,IN,370,305.16,2025-03-24,48,PURCHASE
49,81,IN,161,862.82,2025-03-24,49,PURCHASE
50,419,IN,428,2810.0,2025-03-24,50,PURCHASE
51,239,IN,329,736.28,2025-03-24,51,PURCHASE
52,83,IN,332,3577.75,2025-03-24,52,PURCHASE
53,212,IN,350,4682.97,2025-03-24,53,PURCHASE
54,293,IN,446,2188.28,2025-03-24,54,PURCHASE
55,118,IN,245,3518.48,2025-04-03,55,PURCHASE
56,435,IN,338,4099.18,2025-04-03,56,PURCHASE
57,17,IN,163,2476.74,2025-04-03,57,PURCHASE
58,355,IN,255,922.54,2025-04-03,58,PURCHASE
59,493,IN,394,627.7,2025-04-03,59,PURCHASE
60,21,IN,161,3273.37,2025-04-03,60,PURCHASE
61,358,IN,216,3979.11,2025-04-03,61,PURCHASE
62,180,IN,180,4433.67,2025-04-03,62,PURCHASE
63,274,IN,330,4814.71,2025-04-03,63,PURCHASE
64,66,IN,272,244.08,2025-04-10,64,PURCHASE
65,171,IN,367,4884.9,2025-04-10,65,PURCHASE
66,410,IN,229,720.02,2025-04-10,66,PURCHASE
67,366,IN,381,3925.49,2025-04-18,67,PURCHASE
68,71,IN,265,289.84,2025-04-18,68,PURCHASE
69,39,IN,248,2818.66,2025-04-18,69,PURCHASE
70,498,IN,181,388.44,2025-04-18,70,PURCHASE
71,384,IN,277,4557.6,2025-04-18,71,PURCHASE
72,432,IN,387,1227.09,2025-04-18,72,PURCHASE
73,40,IN,330,4970.48,2025-04-18,73,PURCHASE
74,276,IN,150,268.22,2025-04-18,74,PURCHASE
75,465,IN,223,1426.12,2025-04-26,75,PURCHASE
76,115,IN,286,1221.01,2025-04-26,76,PURCHASE
77,442,IN,400,4030.17,2025-04-26,77,PURCHASE
78,119,IN,285,2152.63,2025-05-10,78,PURCHASE
79,477,IN,360,3240.82,2025-05-10,79,PURCHASE
80,423,IN,82,3815.28,2025-05-10,80,PURCHASE
81,9,IN,315,1490.78,2025-05-10,81,PURCHASE
82,364,IN,276,969.0,2025-05-10,82,PURCHASE
83,38,IN,137,2640.01,2025-05-10,83,PURCHASE
84,296,IN,318,4492.29,2025-05-10,84,PURCHASE
85,241,IN,235,99.96,2025-05-10,85,PURCHASE
86,491,IN,82,763.31,2025-05-10,86,PURCHASE
87,373,IN,188,1617.65,2025-05-22,87,PURCHASE
88,330,IN,69,2795.57,2025-05-22,88,PURCHASE
89,87,IN,277,229.01,2025-05-22,89,PURCHASE
90,223,IN,250,4699.67,2025-05-22,90,PURCHASE
91,283,IN,32,4783.28,2025-05-22,91,PURCHASE
92,124,IN,355,2557.1,2025-05-22,92,PURCHASE
93,268,IN,272,3582.16,2025-05-22,93,PURCHASE
94,75,IN,93,4252.57,2025-05-22,94,PURCHASE
95,443,IN,399,1506.7,2025-06-03,95,PURCHASE
96,421,IN,334,241.83,2025-06-03,96,PURCHASE
97,489,IN,211,4048.5,2025-06-03,97,PURCHASE
98,298,IN,421,771.85,2025-06-03,98,PURCHASE
99,223,IN,309,3383.81,2025-06-03,99,PURCHASE
100,238,IN,342,3815.2,2025-06-14,100,PURCHASE
101,285,IN,168,4582.31,2025-06-14,101,PURCHASE
102,433,IN,343,4256.98,2025-06-14,102,PURCHASE
103,88,IN,60,2295.94,2025-06-14,103,PURCHASE
104,288,IN,285,1057.99,2025-06-14,104,PURCHASE
105,151,IN,326,70.26,2025-06-14,105,PURCHASE
106,316,IN,191,3223.88,2025-06-27,106,PURCHASE
107,456,IN,359,449.98,2025-06-27,107,PURCHASE
108,228,IN,335,2715.48,2025-06-27,108,PURCHASE
109,378,IN,352,1920.36,2025-06-27,109,PURCHASE
110,485,IN,140,2142.03,2025-06-27,110,PURCHASE
111,134,IN,128,1564.69,2025-07-07,111,PURCHASE
112,404,IN,301,4461.84,2025-07-07,112,PURCHASE
113,216,IN,256,947.46,2025-07-07,113,PURCHASE
114,373,IN,300,2936.34,2025-07-21,114,PURCHASE
115,459,IN,256,288.99,2025-07-21,115,PURCHASE
116,250,IN,83,3642.42,2025-07-21,116,PURCHASE
117,116,IN,350,3066.42,2025-07-21,117,PURCHASE
118,386,IN,404,3145.64,2025-07-30,118,PURCHASE
119,350,IN,175,453.64,2025-07-30,119,PURCHASE
120,442,IN,270,2011.79,2025-07-30,120,PURCHASE
121,249,IN,455,3201.46,2025-07-30,121,PURCHASE
122,62,IN,354,2895.6,2025-07-30,122,PURCHASE
123,3,IN,383,3709.2,2025-07-30,123,PURCHASE
124,44,IN,455,4191.61,2025-07-30,124,PURCHASE
125,337,IN,461,4009.5,2025-07-30,125,PURCHASE
126,120,IN,195,1470.32,2025-07-30,126,PURCHASE
127,421,IN,303,4478.41,2025-08-13,127,PURCHASE
128,401,IN,435,334.4,2025-08-13,128,PURCHASE
129,67,IN,232,2431.16,2025-08-13,129,PURCHASE
130,476,IN,305,711.09,2025-08-13,130,PURCHASE
131,295,IN,406,2055.5,2025-08-13,131,PURCHASE
132,142,IN,362,2245.68,2025-08-13,132,PURCHASE
133,199,IN,290,3612.71,2025-08-13,133,PURCHASE
134,109,IN,436,4166.83,2025-08-26,134,PURCHASE
135,26,IN,254,4070.58,2025-08-26,135,PURCHASE
136,4,IN,375,1165.51,2025-08-26,136,PURCHASE
137,34,IN,92,932.72,2025-08-26,137,PURCHASE
138,433,IN,221,731.58,2025-08-26,138,PURCHASE
139,233,IN,274,3882.01,2025-08-26,139,PURCHASE
140,18,IN,249,2668.11,2025-08-26,140,PURCHASE
141,11,IN,287,188.7,2025-08-26,141,PURCHASE
142,462,IN,197,81.97,2025-09-04,142,PURCHASE
143,416,IN,332,1956.47,2025-09-04,143,PURCHASE
144,297,IN,460,4496.08,2025-09-04,144,PURCHASE
145,475,IN,220,785.62,2025-09-04,145,PURCHASE
146,334,IN,411,982.31,2025-09-04,146,PURCHASE
147,156,IN,359,4023.77,2025-09-14,147,PURCHASE
148,378,IN,123,3721.16,2025-09-14,148,PURCHASE
149,331,IN,113,4787.55,2025-09-14,149,PURCHASE
150,176,IN,225,1409.24,2025-09-14,150,PURCHASE
151,353,IN,344,1962.28,2025-09-14,151,PURCHASE
152,118,IN,253,455.37,2025-09-14,152,PURCHASE
153,189,IN,325,1544.69,2025-09-14,153,PURCHASE
154,268,IN,246,1758.15,2025-09-14,154,PURCHASE
155,80,IN,302,2341.1,2025-09-14,155,PURCHASE
156,75,IN,240,1925.47,2025-09-14,156,PURCHASE
157,179,IN,242,3863.21,2025-09-28,157,PURCHASE
158,312,IN,198,3469.97,2025-09-28,158,PURCHASE
159,297,IN,307,1756.55,2025-09-28,159,PURCHASE
160,456,IN,229,3644.96,2025-09-28,160,PURCHASE
161,163,IN,299,3078.52,2025-09-28,161,PURCHASE
162,357,IN,238,4866.63,2025-09-28,162,PURCHASE
163,157,IN,237,2102.2,2025-09-28,163,PURCHASE
164,165,IN,220,4872.23,2025-09-28,164,PURCHASE
165,219,IN,34,784.34,2025-10-08,165,PURCHASE
166,60,IN,252,2752.62,2025-10-08,166,PURCHASE
167,125,IN,207,1727.7,2025-10-08,167,PURCHASE
168,34,IN,131,3565.33,2025-10-08,168,PURCHASE
169,233,IN,398,2094.89,2025-10-08,169,PURCHASE
170,387,IN,282,795.03,2025-10-16,170,PURCHASE
171,419,IN,318,513.46,2025-10-16,171,PURCHASE
172,149,IN,304,2841.62,2025-10-16,172,PURCHASE
173,490,IN,258,4948.22,2025-10-16,173,PURCHASE
174,131,IN,336,2300.27,2025-10-27,174,PURCHASE
175,482,IN,442,1558.1,2025-10-27,175,PURCHASE
176,400,IN,201,3955.99,2025-10-27,176,PURCHASE
177,47,IN,272,2530.82,2025-10-27,177,PURCHASE
178,212,IN,179,677.55,2025-10-27,178,PURCHASE
179,280,IN,113,315.66,2025-10-27,179,PURCHASE
180,55,IN,288,4855.67,2025-10-27,180,PURCHASE
181,417,IN,382,2337.9,2025-10-27,181,PURCHASE
182,39,IN,193,4285.32,2025-10-27,182,PURCHASE
183,450,IN,244,4958.07,2025-11-08,183,PURCHASE
184,355,IN,342,3942.12,2025-11-08,184,PURCHASE
185,227,IN,352,3728.05,2025-11-08,185,PURCHASE
186,74,IN,228,1515.58,2025-11-08,186,PURCHASE
