manufacturer_id,manufacturer_name
1,Acura
2,Ford
3,Nissan
4,Mitsubishi
5,Isuzu
6,Oldsmobile
7,Ford
8,Nissan
9,Porsche
10,Ford
11,Audi
12,Mazda
13,Land Rover
14,Volkswagen
15,Chrysler
16,Volvo
17,Oldsmobile
18,Volvo
19,Scion
20,Dodge
21,Pontiac
22,Mercury
23,Mercedes-Benz
24,Buick
25,Volvo
26,Ford
27,Chrysler
28,Lotus
29,GMC
30,Mercedes-Benz
31,Nissan
32,Mercedes-Benz
33,Mercedes-Benz
34,MINI
35,Lexus
36,Jaguar
37,Infiniti
38,Pontiac
39,Mitsubishi
40,Chrysler
41,Mercedes-Benz
42,Ford
43,Nissan
44,Saturn
45,Volvo
46,Land Rover
47,Saab
48,Oldsmobile
49,Jeep
50,Ford
51,GMC
52,Chevrolet
53,Nissan
54,Isuzu
55,Cadillac
56,GMC
57,Lexus
58,Ford
59,Volkswagen
60,BMW
61,Toyota
62,Lexus
63,Infiniti
64,Buick
65,Honda
66,Mercury
67,GMC
68,Lotus
69,Volkswagen
70,GMC
71,Toyota
72,Jaguar
73,Ford
74,Volvo
75,Dodge
76,Mercury
77,Mercedes-Benz
78,Audi
79,Volkswagen
80,Subaru
81,Nissan
82,Ford
83,Mazda
84,Ford
85,Volkswagen
86,Porsche
87,Ford
88,Jaguar
89,Dodge
90,Chevrolet
91,Chevrolet
92,Volvo
93,Saturn
94,Saab
95,Kia
96,Mazda
97,Infiniti
98,Audi
99,Subaru
100,Mazda
