product_name,product_description,part_number,category_id,supplier_id,storage_location,date_added,last_update,status,unit_cost,retail_price
Auto Part 1,Description for Auto Part 1,PN00001,40,393,Location 4,2025-12-20 00:00:00,2026-04-19 00:00:00,INACTIVE,224.61,413.23
Auto Part 2,Description for Auto Part 2,PN00002,65,317,Location 13,2026-04-09 00:00:00,2026-04-25 00:00:00,ACTIVE,416.36,978.85
Auto Part 3,Description for Auto Part 3,PN00003,19,345,Location 4,2026-03-24 00:00:00,2026-03-26 00:00:00,ACTIVE,389.27,891.98
Auto Part 4,Description for Auto Part 4,PN00004,43,649,Location 16,2025-04-14 00:00:00,2025-09-22 00:00:00,INACTIVE,400.21,607.44
Auto Part 5,Description for Auto Part 5,PN00005,25,377,Location 12,2025-06-14 00:00:00,2026-02-10 00:00:00,ACTIVE,255.98,424.49
Auto Part 6,Description for Auto Part 6,PN00006,61,442,Location 14,2025-10-29 00:00:00,2026-02-10 00:00:00,ACTIVE,436.39,787.87
Auto Part 7,Description for Auto Part 7,PN00007,33,267,Location 2,2025-10-30 00:00:00,2026-01-13 00:00:00,ACTIVE,281.54,363.98
Auto Part 8,Description for Auto Part 8,PN00008,12,704,Location 18,2025-02-28 00:00:00,2025-07-05 00:00:00,INACTIVE,78.19,143.36
Auto Part 9,Description for Auto Part 9,PN00009,68,480,Location 16,2026-02-04 00:00:00,2026-03-18 00:00:00,ACTIVE,415.08,1037.5
Auto Part 10,Description for Auto Part 10,PN00010,35,499,Location 17,2025-04-16 00:00:00,2026-02-04 00:00:00,ACTIVE,285.19,540.56
Auto Part 11,Description for Auto Part 11,PN00011,16,79,Location 9,2026-03-31 00:00:00,2026-04-07 00:00:00,ACTIVE,293.11,628.97
Auto Part 12,Description for Auto Part 12,PN00012,27,683,Location 4,2025-01-28 00:00:00,2025-12-17 00:00:00,ACTIVE,194.59,279.09
Auto Part 13,Description for Auto Part 13,PN00013,32,548,Location 16,2026-02-01 00:00:00,2026-03-21 00:00:00,ACTIVE,103.11,174.98
Auto Part 14,Description for Auto Part 14,PN00014,14,497,Location 20,2025-03-04 00:00:00,2026-03-16 00:00:00,INACTIVE,186.58,413.72
Auto Part 15,Description for Auto Part 15,PN00015,27,570,Location 12,2026-02-07 00:00:00,2026-04-09 00:00:00,INACTIVE,91.39,200.46
Auto Part 16,Description for Auto Part 16,PN00016,24,308,Location 9,2025-10-03 00:00:00,2025-12-16 00:00:00,ACTIVE,217.57,326.99
Auto Part 17,Description for Auto Part 17,PN00017,62,71,Location 13,2025-07-25 00:00:00,2025-12-17 00:00:00,ACTIVE,373.03,699.7
Auto Part 18,Description for Auto Part 18,PN00018,65,375,Location 14,2025-02-18 00:00:00,2025-12-06 00:00:00,ACTIVE,356.71,807.29
Auto Part 19,Description for Auto Part 19,PN00019,45,80,Location 11,2025-03-22 00:00:00,2026-01-15 00:00:00,ACTIVE,344.95,807.21
Auto Part 20,Description for Auto Part 20,PN00020,36,55,Location 8,2025-09-09 00:00:00,2025-09-15 00:00:00,ACTIVE,67.34,84.91
