batch_id,product_id,supplier_id,quantity_received,quantity_remaining,unit_cost,date_received,barcode,po_id
1,291,1,248,0,1121.11,2025-01-12,BATCH000001,1
2,357,1,101,0,3776.88,2025-01-12,BATCH000002,1
3,90,1,249,0,1984.08,2025-01-12,BATCH000003,1
4,15,1,265,0,3920.95,2025-01-12,BATCH000004,1
5,192,1,165,0,2446.6,2025-01-12,BATCH000005,1
6,409,1,114,0,3294.27,2025-01-12,BATCH000006,1
7,81,1,413,147,4929.53,2025-01-12,BATCH000007,1
8,373,1,433,73,1543.25,2025-01-12,BATCH000008,1
9,7,1,196,0,2856.42,2025-01-12,BATCH000009,1
10,409,1,178,37,2307.36,2025-01-26,BATCH000010,2
11,386,1,137,0,4786.93,2025-01-26,BATCH000011,2
12,133,1,295,106,4763.09,2025-01-26,BATCH000012,2
13,240,1,336,0,4409.04,2025-01-26,BATCH000013,2
14,335,1,381,91,4022.68,2025-01-26,BATCH000014,2
15,102,1,128,0,1183.29,2025-01-26,BATCH000015,2
16,294,1,356,124,157.48,2025-02-02,BATCH000016,3
17,249,1,271,15,124.95,2025-02-02,BATCH000017,3
18,6,1,198,0,598.22,2025-02-02,BATCH000018,3
19,433,1,361,0,2127.5,2025-02-10,BATCH000019,4
20,277,1,333,0,4855.16,2025-02-10,BATCH000020,4
21,67,1,263,0,2384.09,2025-02-10,BATCH000021,4
22,372,1,270,0,3805.4,2025-02-10,BATCH000022,4
23,392,1,210,0,3652.63,2025-02-10,BATCH000023,4
24,120,1,387,93,3767.8,2025-02-10,BATCH000024,4
25,337,1,399,124,1352.01,2025-02-10,BATCH000025,4
26,473,1,209,0,433.18,2025-02-23,BATCH000026,5
27,49,1,318,83,1546.0,2025-02-23,BATCH000027,5
28,328,1,286,0,3114.61,2025-02-23,BATCH000028,5
29,453,1,260,0,418.14,2025-02-23,BATCH000029,5
30,84,1,242,0,3584.22,2025-02-23,BATCH000030,5
31,428,1,242,0,2292.64,2025-02-23,BATCH000031,5
32,486,1,144,0,1097.71,2025-02-23,BATCH000032,5
33,17,1,441,228,1070.09,2025-02-23,BATCH000033,5
34,255,1,273,273,3950.03,2025-02-23,BATCH000034,5
35,100,1,334,0,4493.15,2025-03-03,BATCH000035,6
36,107,1,388,186,1362.31,2025-03-03,BATCH000036,6
37,142,1,160,0,2651.34,2025-03-03,BATCH000037,6
38,321,1,245,207,3177.75,2025-03-03,BATCH000038,6
39,388,1,59,0,2110.94,2025-03-03,BATCH000039,6
40,403,1,208,0,2171.06,2025-03-03,BATCH000040,6
41,497,1,422,0,2719.16,2025-03-03,BATCH000041,6
42,418,1,318,0,1877.93,2025-03-14,BATCH000042,7
43,93,1,337,71,3096.4,2025-03-14,BATCH000043,7
44,250,1,307,307,1017.46,2025-03-14,BATCH000044,7
45,107,1,459,25,2757.43,2025-03-14,BATCH000045,7
46,460,1,292,0,4095.65,2025-03-14,BATCH000046,7
47,212,1,97,0,770.51,2025-03-14,BATCH000047,7
48,50,1,370,45,305.16,2025-03-24,BATCH000048,8
49,81,1,161,11,862.82,2025-03-24,BATCH000049,8
50,419,1,428,426,2810.0,2025-03-24,BATCH000050,8
51,239,1,329,0,736.28,2025-03-24,BATCH000051,8
52,83,1,332,252,3577.75,2025-03-24,BATCH000052,8
53,212,1,350,233,4682.97,2025-03-24,BATCH000053,8
54,293,1,446,0,2188.28,2025-03-24,BATCH000054,8
55,118,1,245,0,3518.48,2025-04-03,BATCH000055,9
56,435,1,338,0,4099.18,2025-04-03,BATCH000056,9
57,17,1,163,163,2476.74,2025-04-03,BATCH000057,9
58,355,1,255,0,922.54,2025-04-03,BATCH000058,9
59,493,1,394,0,627.7,2025-04-03,BATCH000059,9
60,21,1,161,0,3273.37,2025-04-03,BATCH000060,9
61,358,1,216,0,3979.11,2025-04-03,BATCH000061,9
62,180,1,180,180,4433.67,2025-04-03,BATCH000062,9
63,274,1,330,0,4814.71,2025-04-03,BATCH000063,9
64,66,1,272,0,244.08,2025-04-10,BATCH000064,10
65,171,1,367,311,4884.9,2025-04-10,BATCH000065,10
66,410,1,229,92,720.02,2025-04-10,BATCH000066,10
67,366,1,381,0,3925.49,2025-04-18,BATCH000067,11
68,71,1,265,265,289.84,2025-04-18,BATCH000068,11
69,39,1,248,0,2818.66,2025-04-18,BATCH000069,11
