po_id,supplier_id,order_date,total_cost
1,1,2025-01-12,4047903.15
2,1,2025-01-26,2714695.55
3,1,2025-02-02,163939.59
4,1,2025-02-10,4217568.67
5,1,2025-02-23,3051191.31
6,1,2025-03-03,3187416.87
7,1,2025-03-14,2631969.5
8,1,2025-03-24,3580640.71
9,1,2025-04-03,4636041.7
10,1,2025-04-10,1470202.88
11,1,2025-04-18,3505093.01
12,1,2025-04-26,1494308.33
13,1,2025-05-10,3379839.4
14,1,2025-05-22,2788515.07
15,1,2025-06-03,1752835.23
16,1,2025-06-14,2701837.98
17,1,2025-06-27,1547405.94
18,1,2025-07-07,1190365.07
19,1,2025-07-21,1267321.65
20,1,2025-07-30,6074636.45
21,1,2025-08-13,3214502.67
22,1,2025-08-26,3691849.66
23,1,2025-09-04,2091714.23
24,1,2025-09-14,3202522.41
25,1,2025-09-28,4628800.1
26,1,2025-10-08,1306682.82
27,1,2025-10-16,1732427.3
28,1,2025-10-27,3469936.26
29,1,2025-11-08,3975690.84
30,1,2025-11-21,2699905.59
31,1,2025-12-03,2180784.53
32,1,2025-12-14,1540811.37
33,1,2025-12-21,2604983.88
34,1,2025-12-28,3716683.89
35,1,2026-01-09,3170873.48
36,1,2026-01-22,3341717.65
37,1,2026-01-29,3516522.27
38,1,2026-02-12,3101650.03
39,1,2026-02-26,2138488.23
40,1,2026-03-09,693779.91
41,1,2026-03-21,2635591.45
42,1,2026-03-31,864390.18
43,1,2026-04-13,1176369.1
44,1,2026-04-20,3391998.96
45,1,2026-04-27,2322672.57
46,1,2026-05-11,3892002.23
47,1,2026-05-19,1205507.22
48,1,2026-06-01,5010424.93
49,1,2026-06-08,1324383.58
50,1,2026-06-16,1886523.14
51,1,2026-06-28,1007215.94
52,1,2026-07-07,1728964.02
53,1,2026-07-15,3270279.03
54,1,2026-07-27,3500410.68
55,1,2026-08-06,3069098.06
56,1,2026-08-13,708115.97
57,1,2026-08-22,2174359.02
58,1,2026-08-31,2477454.58
59,1,2026-09-11,1586070.61
60,1,2026-09-23,1487645.4
61,2,2025-01-14,1584950.52
62,2,2025-01-21,518495.8
63,2,2025-02-02,3287668.21
64,2,2025-02-16,2956497.71
65,2,2025-03-01,1183376.7
66,2,2025-03-15,1175033.0
67,2,2025-03-23,1444162.31
68,2,2025-03-31,2204791.57
69,2,2025-04-08,1458343.3
70,2,2025-04-19,2344233.54
71,2,2025-05-01,840789.18
72,2,2025-05-12,2270603.6
73,2,2025-05-23,675273.2
74,2,2025-05-31,5232158.69
75,2,2025-06-13,990052.6
76,2,2025-06-26,4697177.48
77,2,2025-07-10,2463597.75
78,2,2025-07-18,5524799.1
79,2,2025-07-29,2550074.53
80,2,2025-08-06,4456695.04
81,2,2025-08-19,1657363.14
82,2,2025-09-02,3162982.38
83,2,2025-09-11,1580209.57
84,2,2025-09-25,1041667.76
85,2,2025-10-04,4572624.68
86,2,2025-10-14,3416744.89
87,2,2025-10-26,2034811.61
88,2,2025-11-03,3318136.92
89,2,2025-11-10,2052334.68
90,2,2025-11-24,1730287.88
91,2,2025-12-04,1415307.87
92,2,2025-12-11,1419943.69
93,2,2025-12-24,6063112.88
94,2,2026-01-07,2277212.32
95,2,2026-01-14,1305044.05
96,2,2026-01-26,1431919.45
97,2,2026-02-07,2238299.18
98,2,2026-02-14,1691271.31
99,2,2026-02-28,3124320.73
100,2,2026-03-08,3017572.96
101,2,2026-03-16,4039642.33
102,2,2026-03-29,4288174.46
103,2,2026-04-12,1073708.2
104,2,2026-04-20,2482455.93
105,2,2026-05-02,3183015.51
106,2,2026-05-09,2935595.67
107,2,2026-05-20,4440743.33
108,2,2026-05-28,1745454.01
109,2,2026-06-09,1867775.8
110,2,2026-06-19,5524361.38
111,2,2026-06-26,4520930.56
112,2,2026-07-03,2343435.78
113,2,2026-07-13,3324514.27
114,2,2026-07-20,2388661.6
115,2,2026-07-28,1003808.08
116,2,2026-08-05,2300218.85
117,2,2026-08-18,2727008.16
118,2,2026-08-28,3648676.29
119,2,2026-09-06,2291253.94
120,2,2026-09-19,5306169.28
121,3,2025-01-09,2458305.93
122,3,2025-01-21,3224199.26
123,3,2025-02-04,4688509.73
124,3,2025-02-17,4161411.62
125,3,2025-02-28,1860514.16
126,3,2025-03-11,5346179.03
127,3,2025-03-25,2564346.1
128,3,2025-04-02,1668459.88
129,3,2025-04-16,1567020.44
130,3,2025-04-27,4202064.77
131,3,2025-05-05,1820051.06
132,3,2025-05-13,1988745.86
133,3,2025-05-23,3388815.35
134,3,2025-06-02,4906625.42
135,3,2025-06-16,2998160.59
136,3,2025-06-27,2411966.3
137,3,2025-07-07,4782084.94
138,3,2025-07-21,1592182.49
139,3,2025-08-01,5553010.84
140,3,2025-08-08,1440591.48
141,3,2025-08-16,1182823.78
