id,po_id,product_id,quantity,unit_cost
1,1,291,203,1121.11
2,1,357,38,3776.88
3,1,90,187,1984.08
4,1,15,200,3920.95
5,1,192,37,2446.6
6,1,409,78,3294.27
7,1,81,297,4929.53
8,1,373,275,1543.25
9,1,7,100,2856.42
10,2,409,120,2307.36
11,2,386,87,4786.93
12,2,133,115,4763.09
13,2,240,154,4409.04
14,2,335,189,4022.68
15,2,102,29,1183.29
16,3,294,290,157.48
17,3,249,147,124.95
18,3,6,167,598.22
19,4,433,243,2127.5
20,4,277,246,4855.16
21,4,67,202,2384.09
22,4,372,160,3805.4
23,4,392,47,3652.63
24,4,120,229,3767.8
25,4,337,282,1352.01
26,5,473,180,433.18
27,5,49,268,1546.0
28,5,328,101,3114.61
29,5,453,209,418.14
30,5,84,170,3584.22
31,5,428,144,2292.64
32,5,486,137,1097.71
33,5,17,270,1070.09
34,5,255,197,3950.03
35,6,100,181,4493.15
36,6,107,242,1362.31
37,6,142,149,2651.34
38,6,321,238,3177.75
39,6,388,47,2110.94
40,6,403,20,2171.06
41,6,497,276,2719.16
42,7,418,157,1877.93
43,7,93,240,3096.4
44,7,250,107,1017.46
45,7,107,297,2757.43
46,7,460,154,4095.65
47,7,212,46,770.51
48,8,50,266,305.16
49,8,81,99,862.82
50,8,419,270,2810.0
51,8,239,177,736.28
52,8,83,218,3577.75
53,8,212,239,4682.97
54,8,293,286,2188.28
55,9,118,180,3518.48
56,9,435,144,4099.18
57,9,17,109,2476.74
58,9,355,219,922.54
59,9,493,194,627.7
60,9,21,38,3273.37
61,9,358,135,3979.11
62,9,180,164,4433.67
63,9,274,297,4814.71
64,10,66,251,244.08
65,10,171,256,4884.9
66,10,410,220,720.02
67,11,366,195,3925.49
68,11,71,82,289.84
69,11,39,130,2818.66
70,11,498,178,388.44
71,11,384,257,4557.6
72,11,432,188,1227.09
73,11,40,176,4970.48
74,11,276,13,268.22
75,12,465,102,1426.12
76,12,115,164,1221.01
77,12,442,285,4030.17
78,13,119,272,2152.63
79,13,477,292,3240.82
80,13,423,24,3815.28
81,13,9,261,1490.78
82,13,364,205,969.0
83,13,38,33,2640.01
84,13,296,230,4492.29
85,13,241,79,99.96
86,13,491,53,763.31
87,14,373,174,1617.65
88,14,330,33,2795.57
89,14,87,171,229.01
90,14,223,210,4699.67
91,14,283,15,4783.28
92,14,124,260,2557.1
93,14,268,112,3582.16
94,14,75,59,4252.57
95,15,443,286,1506.7
96,15,421,176,241.83
97,15,489,169,4048.5
98,15,298,245,771.85
99,15,223,120,3383.81
100,16,238,237,3815.2
101,16,285,124,4582.31
102,16,433,234,4256.98
103,16,88,46,2295.94
104,16,288,108,1057.99
105,16,151,191,70.26
106,17,316,139,3223.88
107,17,456,232,449.98
108,17,228,209,2715.48
109,17,378,198,1920.36
110,17,485,22,2142.03
111,18,134,113,1564.69
112,18,404,190,4461.84
113,18,216,175,947.46
114,19,373,230,2936.34
115,19,459,147,288.99
116,19,250,17,3642.42
117,19,116,159,3066.42
118,20,386,243,3145.64
119,20,350,135,453.64
120,20,442,152,2011.79
121,20,249,272,3201.46
122,20,62,207,2895.6
123,20,3,295,3709.2
124,20,44,275,4191.61
125,20,337,275,4009.5
126,20,120,84,1470.32
127,21,421,234,4478.41
128,21,401,252,334.4
129,21,67,55,2431.16
130,21,476,163,711.09
131,21,295,224,2055.5
132,21,142,196,2245.68
133,21,199,258,3612.71
134,22,109,237,4166.83
135,22,26,231,4070.58
136,22,4,264,1165.51
137,22,34,43,932.72
138,22,433,62,731.58
139,22,233,260,3882.01
140,22,18,121,2668.11
141,22,11,205,188.7
142,23,462,93,81.97
143,23,416,204,1956.47
144,23,297,299,4496.08
145,23,475,96,785.62
146,23,334,270,982.31
147,24,156,160,4023.77
148,24,378,119,3721.16
149,24,331,77,4787.55
150,24,176,59,1409.24
