item_id,transaction_id,product_id,batch_id,quantity_sold,unit_selling_price,unit_cost_at_sale,discount_applied,total_sale_value,total_cost
1,1,15,5442,1,3184.63,2077.14,0.0,3184.63,2077.14
2,1,64,4271,7,643.03,565.18,32.15,4500.86,3956.26
3,1,464,2327,3,6623.01,4264.61,0.0,19869.03,12793.83
4,2,433,4286,5,602.92,430.42,0.0,3014.6,2152.1
5,2,238,5092,4,3111.47,1507.93,248.92,12445.56,6031.72
6,2,341,5503,7,4753.7,3960.48,617.98,33274.99,27723.36
7,2,238,5092,5,2462.42,1507.93,0.0,12312.1,7539.65
8,3,49,5454,10,888.5,507.31,88.85,8884.0,5073.1
9,3,351,4267,3,9823.91,4705.38,98.24,29471.7,14116.14
10,3,313,5207,1,445.73,278.04,17.83,445.69,278.04
11,4,421,2013,1,5392.63,3198.7,269.63,5392.58,3198.7
12,4,467,3498,8,1925.08,1170.6,173.26,15399.92,9364.8
13,4,457,1577,7,2171.69,1770.56,108.58,15201.48,12393.92
14,4,384,4731,3,3773.32,2807.2,0.0,11319.96,8421.6
15,4,211,2094,6,1695.82,1290.84,152.62,10174.38,7745.04
16,5,170,4695,1,4127.3,2055.3,0.0,4127.3,2055.3
17,5,371,1216,5,8842.71,4712.78,0.0,44213.55,23563.9
18,5,476,5456,10,74.27,61.9,0.0,742.7,619.0
19,6,412,3876,3,3643.17,2652.82,0.0,10929.51,7958.46
20,6,412,3876,7,3167.71,2652.82,0.0,22173.97,18569.74
21,6,412,3876,3,5688.93,2652.82,113.78,17066.73,7958.46
22,6,412,3876,8,5418.13,2652.82,379.27,43344.48,21222.56
23,6,412,3876,7,5654.72,2652.82,395.83,39582.55,18569.74
24,7,450,2336,10,3981.1,1820.95,358.3,39810.1,18209.5
25,7,497,3495,3,3620.6,1973.04,253.44,10861.59,5919.12
26,8,83,5460,1,5796.32,4573.34,405.74,5796.25,4573.34
27,9,438,389,8,4289.0,2371.54,343.12,34311.36,18972.32
28,9,343,5440,9,5563.77,2915.09,500.74,50073.12,26235.81
29,9,103,5121,4,73.92,59.09,6.65,295.32,236.36
30,9,157,3897,1,9674.86,4549.08,0.0,9674.86,4549.08
31,10,183,4416,3,2107.14,1388.65,168.57,6321.18,4165.95
32,10,17,33,1,1935.14,1070.09,135.46,1935.07,1070.09
33,10,293,2354,1,7122.07,4419.72,213.66,7122.04,4419.72
34,10,221,5459,7,8408.36,4994.6,0.0,58858.52,34962.2
35,10,36,4287,2,233.31,167.58,16.33,466.48,335.16
36,11,342,1955,3,741.66,621.6,0.0,2224.98,1864.8
37,11,488,4758,9,781.7,428.39,46.9,7034.76,3855.51
38,12,340,4795,2,7940.68,4132.29,794.07,-15881.16,-8264.58
39,12,201,1948,10,4148.59,3645.14,0.0,-41485.9,-36451.4
40,12,390,410,2,684.35,348.75,198.46,-1368.12,-697.5
41,12,424,5476,9,7640.18,3596.93,1833.64,-68759.46,-32372.37
42,13,382,869,1,8574.41,4926.94,171.49,8574.39,4926.94
43,13,62,2426,10,2312.52,1081.9,46.25,23125.0,10819.0
44,13,121,4303,3,287.54,154.25,71.89,861.87,462.75
45,14,251,2866,8,4999.42,4322.11,649.92,39994.32,34576.88
46,14,418,5449,2,7326.27,3549.89,366.31,14652.44,7099.78
47,14,140,2341,5,3650.62,2800.27,219.04,18252.8,14001.35
48,15,70,1609,2,3531.69,2497.8,565.07,7063.06,4995.6
49,15,486,2414,4,4362.33,2508.0,0.0,17449.32,10032.0
50,15,70,1609,5,3533.62,2497.8,282.69,17667.7,12489.0
51,16,476,5456,5,88.46,61.9,7.08,441.9,309.5
52,16,44,820,3,4769.74,2224.91,0.0,14309.22,6674.73
53,16,423,2737,3,6076.61,3208.26,60.77,18229.8,9624.78
54,16,202,3509,10,8391.77,4817.15,0.0,83917.7,48171.5
55,17,365,2772,7,6517.03,3307.11,0.0,-45619.21,-23149.77
56,18,290,1580,5,5439.14,3091.09,217.57,27195.5,15455.45
57,19,331,3144,10,6354.01,4239.59,190.62,63539.8,42395.9
58,19,43,5064,4,8321.64,4685.31,748.95,33286.2,18741.24
59,19,342,1955,5,684.39,621.6,47.91,3421.6,3108.0
60,20,388,5100,3,5176.49,3514.52,155.29,15529.38,10543.56
61,20,24,1633,8,5427.06,4710.02,379.89,43415.92,37680.16
62,21,217,416,4,374.43,183.52,0.0,1497.72,734.08
63,21,331,3144,7,4664.1,4239.59,0.0,32648.7,29677.13
64,22,398,2016,8,5244.15,2417.2,524.42,41952.4,19337.6
