transaction_id,parent_transaction_id,transaction_date,receipt_num,total_amount,payment_method,status,notes
1,,2025-01-01,549830,27554.52,CASH,CONFIRMED,
2,,2025-01-01,843516,61047.25,E-WALLET,CONFIRMED,
3,,2025-01-01,188470,38801.39,CASH,CONFIRMED,
4,,2025-01-01,581415,57488.32,CASH,CONFIRMED,
5,,2025-01-01,417953,49083.55,CASH,CANCELLED,
6,,2025-01-02,684468,133097.24,CASH,CONFIRMED,
7,,2025-01-02,800423,50671.69,CASH,CONFIRMED,
8,,2025-01-02,100621,5796.25,E-WALLET,CONFIRMED,
9,,2025-01-02,615086,94354.66,BANK,CONFIRMED,
10,,2025-01-02,817761,74703.29,CASH,CONFIRMED,
11,,2025-01-02,630769,9259.74,CASH,CONFIRMED,
12,,2025-01-03,933152,-127494.64,CASH,REFUNDED,
13,,2025-01-03,799540,32561.26,BANK,CONFIRMED,
14,,2025-01-03,156446,72899.56,E-WALLET,CONFIRMED,
15,,2025-01-03,859303,42180.08,CASH,CANCELLED,
16,,2025-01-03,465719,116898.62,CASH,CONFIRMED,
17,,2025-01-03,380155,-45619.21,BANK,REFUNDED,
18,,2025-01-03,411451,27195.5,BANK,CONFIRMED,
19,,2025-01-03,323777,100247.6,CASH,CONFIRMED,
20,,2025-01-03,281719,58945.3,BANK,CONFIRMED,
21,,2025-01-03,118932,34146.42,E-WALLET,CONFIRMED,
22,,2025-01-04,301628,74385.79,E-WALLET,CONFIRMED,
23,,2025-01-04,710358,2706.41,CASH,CONFIRMED,
24,,2025-01-04,217601,20649.71,CASH,CONFIRMED,
25,,2025-01-04,358089,14574.71,CASH,CONFIRMED,
26,,2025-01-04,349508,9459.45,E-WALLET,CONFIRMED,
27,,2025-01-04,687487,1972.58,E-WALLET,CANCELLED,
28,,2025-01-04,760457,40567.31,E-WALLET,CONFIRMED,
29,,2025-01-04,900767,29187.5,E-WALLET,CONFIRMED,
30,,2025-01-04,226166,24938.18,CASH,CONFIRMED,
31,,2025-01-04,194869,93502.34,CASH,CONFIRMED,
32,,2025-01-04,939188,121451.88,E-WALLET,PENDING,
33,,2025-01-04,282004,78594.32,BANK,CONFIRMED,
34,,2025-01-04,600446,12803.25,CASH,CONFIRMED,
35,,2025-01-04,982272,65725.23,CASH,CANCELLED,
36,,2025-01-04,628042,75999.16,CASH,CONFIRMED,
37,,2025-01-04,770995,39342.73,E-WALLET,CONFIRMED,
38,,2025-01-04,865280,118846.07,CASH,PENDING,
39,,2025-01-05,245075,128509.19,CASH,CONFIRMED,
40,,2025-01-05,203380,88810.05,E-WALLET,CONFIRMED,
41,,2025-01-05,177267,88278.2,CASH,CANCELLED,
42,,2025-01-05,176397,40732.7,CASH,CONFIRMED,
43,,2025-01-05,640599,10974.65,CASH,CANCELLED,
44,,2025-01-05,568128,78900.12,BANK,CONFIRMED,
45,,2025-01-05,618377,66755.27,E-WALLET,CONFIRMED,
46,,2025-01-05,294446,99485.82,BANK,CONFIRMED,
47,,2025-01-05,527096,113682.36,CASH,CONFIRMED,
48,,2025-01-05,609577,2341.8,CASH,CONFIRMED,
49,,2025-01-05,349180,69015.43,CASH,CONFIRMED,
50,,2025-01-05,919939,166910.31,CASH,PENDING,
51,,2025-01-05,368591,-43373.38,BANK,REFUNDED,
52,,2025-01-05,982898,165400.57,CASH,CONFIRMED,
53,,2025-01-05,596557,68512.57,BANK,CONFIRMED,
54,,2025-01-05,885167,13684.5,CASH,CONFIRMED,
55,,2025-01-06,983054,-111610.84,CASH,REFUNDED,
56,,2025-01-06,613864,19520.92,BANK,CONFIRMED,
57,,2025-01-06,313564,-1699.53,E-WALLET,REFUNDED,
58,,2025-01-06,625712,101409.97,E-WALLET,CONFIRMED,
59,,2025-01-06,365742,73408.44,CASH,CANCELLED,
