po_id,supplier_id,order_date,total_cost
1,999,8/6/2025,6459.65
2,27,5/3/2025,174754.97
3,894,5/1/2025,5880.56
4,602,2/8/2025,7824.5
5,741,12/20/2025,8219.53
6,277,7/26/2025,544.01
7,992,6/6/2025,120599.1
8,147,6/2/2025,8804.29
9,971,6/2/2025,107115.09
10,87,9/6/2025,2365.73
11,209,11/18/2025,195264.72
12,602,5/28/2025,9365.61
13,82,10/20/2025,168093.88
14,978,2/14/2025,6994.26
15,816,2/10/2026,187483.92
16,820,10/19/2025,173711.97
17,567,6/22/2025,4660.27
18,817,6/8/2025,186170.91
19,815,8/22/2025,3863.58
20,39,3/16/2025,2281.74
21,132,12/8/2025,2706.19
22,217,6/23/2025,8170.07
23,25,7/25/2025,9380.1
24,24,9/25/2025,121653.64
25,668,9/21/2025,4921.71
26,487,1/27/2025,4697.74
27,729,6/6/2025,4325.61
28,437,12/18/2025,5535.56
29,697,9/6/2025,912.92
30,831,1/28/2025,179900.34
31,968,2/17/2026,4568.83
32,775,1/22/2026,8708.69
33,408,10/10/2025,4651.84
34,405,5/14/2025,3972.08
35,480,1/26/2025,3150.82
36,368,10/17/2025,196064.08
37,48,11/14/2025,7941.38
38,606,4/9/2026,113307.74
39,10,3/8/2025,6037.75
40,415,1/31/2026,165421.43
41,790,3/30/2025,1007.49
42,336,7/19/2025,1885.77
43,750,7/11/2025,136237.62
44,721,10/3/2025,9362.01
45,84,12/3/2025,6427.16
46,911,6/26/2025,948.06
47,902,6/4/2025,6923.92
48,235,8/31/2025,196311.58
49,673,6/26/2025,946.31
50,268,7/15/2025,4198.65
51,432,5/25/2025,4842.8
52,59,9/29/2025,117516.04
53,155,4/15/2026,113085.61
54,856,9/30/2025,9350.24
55,506,8/8/2025,158058.76
56,6,11/30/2025,5925.65
57,197,12/4/2025,7925.79
58,343,5/18/2025,1490.52
59,210,2/15/2026,3899.73
60,22,4/8/2026,122186.88
61,756,8/18/2025,8946.57
62,203,9/3/2025,131291.97
63,552,9/28/2025,112695.0
64,613,3/2/2025,9419.45
65,536,9/22/2025,148723.21
66,437,12/26/2025,5746.47
67,895,5/22/2025,8142.67
68,758,8/12/2025,6286.79
69,731,10/27/2025,7802.26
70,317,11/5/2025,9365.31
71,56,1/27/2025,5566.26
72,913,11/24/2025,4309.45
73,626,9/28/2025,2368.7
74,213,8/29/2025,5545.75
75,1000,10/9/2025,104233.02
76,504,8/24/2025,8414.63
77,713,9/12/2025,6487.26
78,643,5/6/2025,6367.94
79,200,11/28/2025,198516.41
80,124,5/12/2025,1862.88
81,50,2/16/2025,6957.57
82,145,7/16/2025,107595.34
83,55,9/23/2025,155122.64
84,486,5/28/2025,3988.04
85,555,5/1/2025,4069.99
86,311,12/25/2025,8260.66
87,857,3/11/2025,129139.4
88,576,4/6/2025,103195.62
89,228,9/8/2025,1876.0
90,548,4/18/2025,9654.39
91,89,6/4/2025,1632.42
92,196,8/21/2025,6167.54
93,50,1/19/2026,3107.81
94,659,6/27/2025,2406.21
95,992,1/21/2026,1485.19
96,683,11/30/2025,190583.26
97,395,2/11/2026,149264.11
98,709,12/14/2025,1490.05
99,164,8/25/2025,182822.14
100,843,6/24/2025,3743.0
101,16,10/23/2025,199339.26
102,82,2/1/2026,3468.44
103,148,3/20/2025,7249.55
104,735,6/14/2025,7391.06
105,305,11/29/2025,185407.31
106,639,7/11/2025,4846.14
107,116,2/11/2026,113993.17
108,863,9/8/2025,7991.94
109,514,12/14/2025,2587.9
110,19,3/27/2026,7144.61
111,730,6/7/2025,5082.55
112,194,6/8/2025,7413.07
113,875,5/14/2025,9590.29
114,322,1/16/2025,123393.72
115,328,3/3/2025,4029.09
116,960,6/7/2025,147173.59
117,148,2/22/2026,8947.9
118,530,1/9/2026,3372.45
119,408,4/4/2026,170444.09
120,689,3/14/2025,100363.5
121,277,1/6/2025,630.58
122,944,1/1/2025,190960.88
123,828,4/13/2025,127525.35
124,931,3/29/2026,156281.44
125,24,1/23/2025,186902.87
126,610,4/1/2026,138152.19
127,860,1/22/2025,1655.91
128,644,12/21/2025,167199.28
129,325,7/17/2025,7029.12
130,410,8/11/2025,124111.01
131,133,3/6/2025,6196.64
132,236,3/1/2026,4985.23
133,762,7/8/2025,1160.95
134,307,3/24/2025,5922.16
135,30,2/18/2026,6314.13
136,619,5/18/2025,9048.59
137,52,11/29/2025,5401.12
138,880,11/28/2025,9944.15
139,280,7/30/2025,8999.54
140,763,1/9/2026,7403.37
141,436,1/8/2025,3469.3
142,430,4/29/2025,166423.16
143,655,11/25/2025,166076.25
144,355,8/31/2025,7393.48
145,175,4/9/2026,967.05
146,658,4/12/2025,1062.49
147,326,4/1/2026,8474.48
148,190,6/30/2025,5786.89
149,323,4/12/2025,174761.4
150,475,3/5/2025,629.23
151,323,8/7/2025,3130.16
152,786,11/17/2025,142679.22
