product_id,bottom_year,top_year,vehicle_id
4668,jcb,1989,16
2170,jcb,1997,729
420,maestro,2013,821
2555,visa-electron,2012,982
152,jcb,2007,629
129,china-unionpay,1986,982
1768,visa-electron,1989,201
2672,switch,2004,713
1050,jcb,2005,111
3197,jcb,2009,87
2991,maestro,2008,769
3784,diners-club-enroute,2009,292
3301,diners-club-us-ca,2008,850
1836,jcb,1997,212
950,maestro,1992,601
1146,mastercard,2012,484
3001,jcb,2007,529
1360,jcb,2008,754
552,switch,1996,771
1425,maestro,1992,768
4870,jcb,1997,61
52,jcb,2003,979
1666,china-unionpay,2006,281
3463,china-unionpay,2012,597
491,visa,2004,63
1713,visa-electron,1995,231
4962,mastercard,1993,151
2958,jcb,1997,187
477,visa,2008,350
1486,maestro,2004,449
2123,maestro,1996,331
2790,jcb,1995,328
4411,jcb,1995,853
4487,diners-club-enroute,2006,281
4980,diners-club-carte-blanche,1997,592
4435,solo,2007,165
2473,jcb,2006,671
2417,jcb,2000,707
2081,jcb,2005,7
1785,jcb,1987,641
4834,mastercard,2001,200
552,diners-club-carte-blanche,1997,766
4409,jcb,2007,274
988,maestro,2007,104
98,diners-club-carte-blanche,2009,122
3327,maestro,2011,755
3038,switch,1992,323
3381,jcb,2002,298
4560,diners-club-enroute,2010,157
2864,diners-club-enroute,1998,558
3651,jcb,2008,554
1162,jcb,1992,151
1307,maestro,2004,235
3446,jcb,2001,428
1108,switch,2004,964
4270,china-unionpay,2002,634
3933,switch,2012,392
1449,jcb,2012,136
1471,maestro,2011,401
211,diners-club-carte-blanche,2002,575
2805,visa,2006,464
2367,mastercard,2001,868
225,jcb,1986,712
3090,laser,2011,790
1616,jcb,2001,225
2432,jcb,2012,556
987,diners-club-carte-blanche,2008,12
4200,mastercard,2003,1000
1043,visa,2001,575
2123,maestro,2011,688
3208,bankcard,1993,493
4487,diners-club-enroute,1992,314
1899,maestro,2010,833
954,maestro,2005,501
2559,jcb,1987,592
3810,jcb,2004,183
922,china-unionpay,1994,890
3369,instapayment,1995,721
3880,jcb,2005,988
680,switch,2008,277
1612,visa,2002,751
1116,jcb,1984,182
111,switch,1996,485
2631,jcb,2003,588
4149,jcb,2005,813
1232,jcb,2002,649
596,switch,2004,340
4147,diners-club-carte-blanche,1994,835
3964,jcb,2011,63
2788,diners-club-carte-blanche,2003,109
2812,visa-electron,1999,269
1123,bankcard,1998,5
1636,mastercard,1995,606
4506,americanexpress,2000,140
1774,solo,2004,973
3774,jcb,2007,905
4019,mastercard,2006,178
1257,jcb,1997,822
2228,china-unionpay,2003,379
3974,jcb,2001,527
743,jcb,1987,903
4511,jcb,1988,588
3140,jcb,2009,503
1704,jcb,2010,665
1519,jcb,1998,171
3838,switch,2012,412
3850,jcb,1997,923
1259,jcb,1994,898
4082,jcb,2005,604
3698,mastercard,1998,339
4845,bankcard,2005,776
1296,switch,2012,937
3100,jcb,1995,469
4721,visa-electron,2011,992
2644,mastercard,2009,224
4855,visa,2010,709
2046,laser,2010,48
3598,jcb,2003,645
4881,diners-club-enroute,2011,611
1617,laser,2000,342
816,jcb,2010,887
842,jcb,2011,755
2032,jcb,2010,332
3637,jcb,1999,356
1296,jcb,1988,291
648,china-unionpay,1990,14
1626,jcb,2003,244
923,mastercard,2007,845
2336,visa-electron,1975,471
2050,maestro,2006,217
2000,visa-electron,1965,790
354,jcb,2005,825
3737,diners-club-enroute,1993,678
3038,mastercard,1994,30
1949,jcb,1996,985
4267,mastercard,2004,899
1403,diners-club-carte-blanche,1997,765
4491,jcb,1993,996
1321,switch,1999,240
3197,americanexpress,2005,844
3755,jcb,1986,19
3786,americanexpress,1999,658
760,maestro,1985,745
3925,laser,2003,151
789,mastercard,2011,508
3207,maestro,2008,133
42,jcb,1988,837
2752,jcb,1987,438
64,jcb,2006,27
4592,jcb,1988,565
4414,americanexpress,2010,785
2992,jcb,1992,311
3604,bankcard,1995,332
1366,maestro,2006,203
1253,jcb,2002,272
2236,switch,2008,481
4017,bankcard,2006,459
3752,americanexpress,2000,54
653,americanexpress,2008,19
