product_name                      , product_description, part_number, category_id, supplier_id, current_stock_level, storage_location, date_added, last_update, unit_cost, retail_price
Valve Cover Gasket                , null               , null       ,          19,         873,                  24, null            , 12/3/2025 , 3/27/2026  ,        11,           40
Shock Absorber                    , null               , null       ,          30,         498,                  87, null            , 8/25/2025 , 9/11/2025  ,        22,           33
Catalytic Converter               , null               , null       ,           5,          26,                  98, null            , 2/26/2025 , 2/24/2026  ,        11,           11
Timing Belt                       , null               , null       ,           5,         346,                  62, null            , 3/30/2025 , 6/10/2025  ,        98,           12
Clutch Pressure Plate             , null               , null       ,          24,         403,                  41, null            , 10/27/2025, 3/26/2025  ,        36,           37
Serpentine Belt                   , null               , null       ,          45,         116,                  34, null            , 2/15/2026 , 6/7/2025   ,        79,            1
Engine Oil - Mineral              , null               , null       ,          46,         879,                  96, null            , 5/9/2025  , 2/28/2026  ,        59,           55
Spark Plug                        , null               , null       ,          65,         529,                  56, null            , 1/16/2025 , 2/14/2026  ,         2,           45
Tie Rod End                       , null               , null       ,          68,         814,                  78, null            , 3/18/2026 , 12/10/2025 ,         6,           96
Clutch Master Cylinder            , null               , null       ,          53,          47,                  86, null            , 6/3/2025  , 1/22/2025  ,        28,           41
Serpentine Belt                   , null               , null       ,          44,         226,                  72, null            , 3/31/2026 , 3/28/2025  ,        85,           39
Catalytic Converter               , null               , null       ,          48,         837,                  33, null            , 11/14/2025, 11/13/2025 ,        80,           75
Engine Oil - Fully Synthetic      , null               , null       ,          10,         605,                   6, null            , 1/1/2026  , 3/12/2025  ,        75,           69
Radiator                          , null               , null       ,          22,         805,                  12, null            , 4/3/2026  , 12/24/2025 ,        67,           83
Cooling Fan Motor                 , null               , null       ,           3,         713,                  45, null            , 2/25/2026 , 3/9/2026   ,        73,           72
U-Joint                           , null               , null       ,          46,         133,                  51, null            , 4/14/2025 , 12/7/2025  ,        27,           51
Brake Shoe Set                    , null               , null       ,          20,         609,                  38, null            , 2/12/2026 , 2/10/2026  ,        24,            2
Radiator Fan                      , null               , null       ,          20,         671,                  34, null            , 12/28/2025, 2/5/2026   ,        32,           93
Wheel Bearing Hub                 , null               , null       ,           5,         415,                  79, null            , 3/6/2026  , 1/22/2026  ,        74,           22
Timing Chain                      , null               , null       ,           9,          79,                  29, null            , 2/20/2026 , 3/22/2026  ,        12,           18
Engine Mount                      , null               , null       ,          23,         300,                  13, null            , 1/17/2025 , 5/20/2025  ,        68,           50
Gear Oil                          , null               , null       ,          52,         796,                  60, null            , 2/6/2025  , 3/7/2025   ,         5,           37
Exhaust Manifold                  , null               , null       ,          50,         544,                  15, null            , 10/5/2025 , 3/4/2025   ,        49,           61
Transmission Mount                , null               , null       ,          17,         399,                  45, null            , 2/5/2026  , 2/26/2025  ,        66,           60
Alternator                        , null               , null       ,          57,         452,                  12, null            , 3/2/2026  , 4/5/2026   ,        82,          100
